id: "Sh 3 Enfield AS-7"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_enfieldas7"
  name: "Enfield AS-7"
  description: "An assault shotgun that has a burst fire option."
}
equipPrefabName: "StreetSweeperShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 5"
maxAmmo: 10
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 8
rangeModTable: 4
rangeModTable: 0
rangeModTable: -4
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
abilityModes: "Single (Shotgun)"
modelessAbilities: "Shoot (Shotgun Burst)"
affectsEnemy: true
canTargetActor: true
store_cost: 600
sorting_group: "Shotguns"
