id: "SMG 2 Colt TZ-110"
type: ItemType_SMG
uirep {
  icon: "icon_gun_colttz110"
  name: "Colt Cobra TZ-110"
  description: "A MilSpec SMG that\'s easily found in streets."
}
equipPrefabName: "IngramSMG"
anim_type: AnimType_SMG
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Smg
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 4"
maxAmmo: 24
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Burst (SMG)"
affectsEnemy: true
canTargetActor: true
store_cost: 850
sorting_group: "SMGs"
