id: "Spell Haste 4"
type: ItemType_Shaman
uirep {
  icon: "icon_haste4"
  name: "Haste IV"
  description: "Increases the friendly target\'s AP by 1 for 4 RNDS. Has a chance to increase AP by 2. Shares a cooldown with other Haste spells."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 10
apCost: 2
prereqStrings: "Player.SKILL.Skill_Conjuring >= 7"
prereqStrings: "Player.ATTRIBUTE.Attribute_Quickness >= 6"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Buff Spells (Non Spirit)"
affectsFriendly: true
affectsEnemy: false
canTargetSelf: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
cooldown: 4
cooldown_category: "haste"
isMagic: true
effectDuration: 4
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHaste3HitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_haste4"
    name: "Haste: AP +1"
  }
  stackingCategory: "Haste"
  statMods {
    attribute: Attribute_AP
    intModValue: 1
  }
  fxScript: "HongKong:GenericSpeedStatus"
  is_buff: true
  activation_status_effect_weight: 0.7
}
activationStatusEffects {
  uirep {
    icon: "icon_haste4"
    name: "Haste: AP +2"
  }
  stackingCategory: "Haste"
  statMods {
    attribute: Attribute_AP
    intModValue: 2
  }
  fxScript: "HongKong:GenericSpeedStatus"
  is_buff: true
  activation_status_effect_weight: 0.3
}
store_cost: 2000
sorting_group: "Conjuring (Shaman)"
damageType: VulnerabilityType_ActionPoints
