id: "Sword 1 Crowbar"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_crowbar"
  name: "Crowbar"
  description: "Better than just a pipe it\'s a tool as well."
}
equipPrefabName: "Crowbar"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
maxAmmo: 0
baseHPDamage: 3
baseAPDamage: -10
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "Melee (Blunt)"
affectsEnemy: true
canTargetActor: true
store_cost: 25
sorting_group: "Melee"
