id: "Sword 3 JadeSword"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_jadesword"
  name: "Dragon Sword"
  description: "A heavy war sword that can cut a metahuman in half."
}
equipPrefabName: "JadeSword"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
prereqStrings: "Player.SKILL.Skill_CloseCombat >= 5"
maxAmmo: 0
baseHPDamage: 6
baseAPDamage: -10
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "Melee (Advanced Sword)"
affectsEnemy: true
canTargetActor: true
store_cost: 500
sorting_group: "Melee"
