id: "Usable_CyberwareDeactivator"
type: ItemType_Consumable
uirep {
  icon: "icon_cyberwaredisruptor"
  name: "Cyberware Deactivator"
  description: "A custom made weapon, usable only at extremely close range. Keyed to a specific target\'s cyberware codes."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
apCost: 1
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 6
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "CyberwareDeactivator"
affectsFriendly: false
affectsEnemy: true
canTargetSelf: false
canTargetActor: true
store_cost: 0
sorting_group: "Healing"
