id: "Pi 3 Taser (Subdue)"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_taser"
  name: "Mitsuhama Shocker"
  description: "Taser: The Shocker overrides even the fiercest combat stimulants to subdue the target."
}
equipPrefabName: "berlin:Taser"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
forceRating: 5
apCost: 1
prereqStrings: "Player.RACE != RACE.DRONE"
prereqStrings: "Player.RACE != RACE.FREEDRONE"
maxAmmo: 2
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
noiseLevel: 2
noiseRounds: 1
ammoReloadAPCost: 2
modelessAbilities: "Shoot (Taser)"
modelessAbilities: "Aimed Shot (Taser)"
affectsEnemy: true
canTargetActor: true
effectDuration: 2
activationStatusEffects {
  uirep {
    icon: "icon_fogB"
    name: "Tasered!"
  }
  stackingCategory: "AP"
  statMods {
    attribute: Attribute_AP
    intModValue: -6
    damageType: VulnerabilityType_Bleed
  }
  fxScript: "LightningStatus"
  is_ignore_armor: true
  is_debuff: true
}
store_cost: 800
sorting_group: "Pistols"
