id: "Vision Magnification Eyes (Blitz)"
type: ItemType_Cyberware
uirep {
  icon: "icon_cyber_eyevisionmag"
  name: "Vision Magnification Eyes"
  description: "Renraku\'s basic cybereye replacements extends and enhances your vision. Adds +3% to hit"
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 6
apCost: 2
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Blitz Comm Jammer"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 3
isMagic: true
effectDuration: 2
fxrep {
  preActionFxName: ""
  actionFxName: "DeckerSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDeBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_confusion"
    name: "Confused"
  }
  stackingCategory: "AI"
  statusConditions: Condition_Confused
}
equippedStatusEffects {
  statMods {
    attribute: Attribute_Magic_Essence
    floatModValue: -1
  }
  statMods {
    attribute: Attribute_Accuracy
    intModValue: 3
  }
}
cyberware_type: CyberwareType_Eyes
store_cost: 750
sorting_group: "CyberwareEyes"
