id: "Berlin_Spell Glue"
type: ItemType_Spell
uirep {
  icon: "icon_glue"
  name: "Glue"
  description: "The target cannot move but can still use AP to attack. Lasts 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 7
apCost: 1
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 6"
prereqStrings: "Player.ATTRIBUTE.Attribute_Charisma >= 4"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 3
noiseRounds: 1
modelessAbilities: "Glue"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 3
isMagic: true
effectDuration: 2
fxrep {
  preActionFxName: ""
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDeBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_glue"
    name: "Glued: Cannot Move"
  }
  stackingCategory: "Move"
  statusConditions: Condition_Rooted
  is_debuff: true
}
store_cost: 1000
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_MoveRange
